account, group, totalTweets, totalRetweetedTweets, totalReplyTweets, totalMediaTweets, totalRetweets, totalFavorites,Retweeted tweets,Reply tweets,Media,Retweets,Favorites,,Retweeted tweets,Reply tweets,Media,Retweets,Favorites
RobertaBondar,CSA,201,16,2,14,268,19,8,1,7,133,9,,,,,,
RobertThirsk,CSA,36,5,3,4,71,13,14,8,11,197,36,,,,,,
AstroGarneau,CSA,92,0,0,0,0,0,0,0,0,0,0,,,,,,
fka_roscosmos,Roscosmos,642,5,1,91,5244,2404,1,0,14,817,374,,,,,,
spacetihon,Roscosmos,163,0,6,5,54,65,0,4,3,33,40,,,,,,
OlegMKS,Roscosmos,1303,38,13,120,12227,5424,3,1,9,938,416,,,,,,
Msuraev,Roscosmos,693,0,0,0,0,0,0,0,0,0,0,,,,,,
AntonAstrey,Roscosmos,511,4,2,98,17972,17819,1,0,19,3517,3487,,,,,,
NASA,NASA,3244,527,196,1429,1448968,1031380,16,6,44,44666,31793,,,,,,
NASA_Astronauts,NASA,3225,613,11,667,384133,92513,19,0,21,11911,2869,,,,,,
NASAPeople,NASA,1113,133,45,101,16217,1509,12,4,9,1457,136,,,,,,
AstroClass2013,NASA,101,0,0,0,0,0,0,0,0,0,0,,,,,,
SciAstro,NASA,499,14,8,39,10052,885,3,2,8,2014,177,,,,,,
Astro_Flow,NASA,3219,296,247,271,33514,7291,9,8,8,1041,226,,,,,,
Astro_Cady,NASA,1810,328,69,242,89008,3172,18,4,13,4918,175,,,,,,
Astro_Ferg,NASA,270,4,2,2,720,42,1,1,1,267,16,,,,,,
AstroCoastie,NASA,5,0,0,0,0,0,0,0,0,0,0,,,,,,
astro_Pettit,NASA,105,0,0,7,394,639,0,0,7,375,609,,,,,,
AstroDot,NASA,717,51,24,41,29126,239,7,3,6,4062,33,,,,,,
Astro_Wheels,NASA,3205,125,308,249,95838,16082,4,10,8,2990,502,,,,,,
Astro_Doug,NASA,52,0,0,0,0,0,0,0,0,0,0,,,,,,
Astro_Taz,NASA,25,0,0,0,0,0,0,0,0,0,0,,,,,,
Astro_Box,NASA,448,10,0,13,988,78,2,0,3,221,17,,,,,,
Astro2fish,NASA,810,1,0,0,1361,61,0,0,0,168,8,,,,,,
Astro_Jeff,NASA,205,0,0,0,0,0,0,0,0,0,0,,,,,,
AstroAcaba,NASA,161,0,0,0,0,0,0,0,0,0,0,,,,,,
AstroKarenN,NASA,952,3,16,20,6455,5698,0,2,2,678,599,,,,,,
Astro_Kate7,NASA,87,0,0,0,0,0,0,0,0,0,0,,,,,,
astro_kjell,NASA,89,5,13,9,1065,979,6,15,10,1197,1100,,,,,,
Astro_127,NASA,442,0,0,0,0,0,0,0,0,0,0,,,,,,
AstroIronMike,NASA,313,6,5,9,9979,654,2,2,3,3188,209,,,,,,
foreman_mike,NASA,1144,14,28,25,9825,898,1,2,2,859,78,,,,,,
astro_aggie,NASA,1785,19,32,46,29731,1876,1,2,3,1666,105,,,,,,
AstroIllini,NASA,583,1,4,2,12,91,0,1,0,2,16,,,,,,
Astro_Mike,NASA,1720,20,25,55,4631,6594,1,1,3,269,383,,,,,,
Astro_Nicholas,NASA,27,0,0,0,0,0,0,0,0,0,0,,,,,,
Astro_Nicole,NASA,1748,0,79,88,2637,3293,0,5,5,151,188,,,,,,
astro_reid,NASA,2218,23,138,34,22812,23772,1,6,2,1028,1072,,,,,,
Astro_Rex,NASA,85,0,2,0,2,18,0,2,0,2,21,,,,,,
AstroRM,NASA,637,0,0,0,0,0,0,0,0,0,0,,,,,,
Astro_Ron,NASA,3239,380,64,162,14105,3787,12,2,5,435,117,,,,,,
Astro_Sandy,NASA,960,0,19,114,698,1075,0,2,12,73,112,,,,,,
AstroSerena,NASA,41,0,0,0,0,0,0,0,0,0,0,,,,,,
StationCDRKelly,NASA,822,8,24,67,47442,74745,1,3,8,5772,9093,,,,,,
Astro_Maker,NASA,117,15,2,10,998,27,13,2,9,853,23,,,,,,
Astro_Suni,NASA,127,0,0,0,0,0,0,0,0,0,0,,,,,,
AstroTerry,NASA,1568,20,6,488,399864,578202,1,0,31,25502,36875,,,,,,
astro_tim,NASA,81,4,1,8,3219,240,5,1,10,3974,296,,,,,,
AstroMarshburn,NASA,726,0,0,0,0,0,0,0,0,0,0,,,,,,
Astro_TJ,NASA,1639,18,15,8,16964,816,1,1,0,1035,50,,,,,,
Chief_Astronaut,NASA,365,12,2,90,6521,3740,3,1,25,1787,1025,,,,,,
Commercial_Crew,NASA,914,60,11,78,17341,2863,7,1,9,1897,313,,,,,,
DESERT_RATS,NASA,1810,2,0,2,444,4,0,0,0,25,0,,,,,,
HMP,NASA,350,7,0,3,89,2,2,0,1,25,1,,,,,,
ISS_Research,NASA,3231,617,445,600,442942,21896,19,14,19,13709,678,,,,,,
NASAMightyEagle,NASA,827,0,0,0,0,0,0,0,0,0,0,,,,,,
NASA_NEEMO,NASA,1313,5,0,4,575,44,0,0,0,44,3,,,,,,
NASA_Orion,NASA,3239,242,39,264,174171,11829,7,1,8,5377,365,,,,,,
PavilionLake,NASA,378,0,0,0,0,0,0,0,0,0,0,,,,,,
MorpheusLander,NASA,3199,12,8,10,1475,149,0,0,0,46,5,,,,,,
AstroRobonaut,NASA,3228,6,8,8,8026,358,0,0,0,249,11,,,,,,
NASA_SLS,NASA,3102,177,45,275,126612,6662,6,1,9,4082,215,,,,,,
Astro_Clay,NASA,3241,845,1624,425,162969,4085,26,50,13,5028,126,,,,,,
